직무명,회사명,채용공고명,근무지역,고용형태,경력조건,교육,마감일,출처,채용공고상세
게임개발,(주)크래프톤,[Corp Dev Div.] KR Sourcing Team Member (5년 이하),서울 강남구,정규직,경력 5년↓,학력무관,~ 06/30(금)(3일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45983021,
게임개발,(주)크래프톤,[Project Blue Team] Sr. Client Programmer (10 yrs +),경기 성남시 분당구,정규직,경력 10년↑,학력무관,~ 06/30(금)(3일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45985740,
게임개발,(주)제이디디지털스튜디오,미디어아트 전시 체험콘텐츠 인터렉티브 개발자 모집(경력),서울 관악구,정규직,경력 2년↑,"대학(2,3년)↑",~ 06/30(금)(4일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45981464,"로블록스 개발자 (Lua 프로그래머) 상시채용



모집부문 및 상세내용

회사 소개
ㆍ디피앤스튜디오는 로블록스 플랫폼 내에서 다양한 게임과 메타버스 공간을 제작 및 운영하는 스튜디오입니다.
ㆍ대표적인 게임의 성과로 총 방문자 1억, MAU 150만을 달성하기도 하였습니다.
ㆍ현재 운영 및 신규 프로젝트의 개발자(프로그래밍 파트)를 모집하고 있습니다.
ㆍ회사에 대한 문의는 언제든 환영하오니 담당자 메일로 연락 부탁드립니다.


담당업무
ㆍRoblox 게임의 흐름 및 논리 설계
ㆍ클라이언트 및 서버 스크립트 작성
ㆍGUI/이펙트 동작 스크립트 작성
ㆍ기획/모델링 파트 등과 커뮤니케이션을 통한 개선업무

로블록스 개발자 (메타버스 Lua 프로그래머) 0명
지원자격
ㆍ로블록스 스튜디오 및 루아(Lua) 프로그래밍 숙련자
ㆍ기획/모델링 파트 등과 원활한 커뮤니케이션이 가능하신 분
우대사항
ㆍ로블록스 게임 테스트/배포 및 유저 피드백을 통한 개선 경험자 우대
ㆍ모델/UI의 프로토타입 제작 및 스크립트 결합을 통한 자체 테스트 가능자 우대
ㆍ외부 API/Webhook/DB 개발 및 로블록스 연동 가능자 우대
ㆍ타 게임엔진 경험자 우대
ㆍ외국어(영어) 가능자 우대
근무조건
ㆍ 근무형태 : 정규직(수습기간)-3개월, 계약직(정규직 전환가능)-3개월
ㆍ 근무일시 : 주 5일(월~금)
ㆍ 근무지역 : 서울 마포구 (홍대입구역 인근)
전형절차
서류전형
1차면접
2차면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2023년 6월 23일 (금) 13시 ~ 채용시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
ㆍ 제출서류 : 추가적인 이력사항 및 포트폴리오 제출가능
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
게임개발,(주)서울게임,IT학원 전분야 게임개발 강사 모집(프로그램/원화/3D/기획/웹툰),서울 종로구,계약직 · 프리랜서,경력무관,학력무관,~ 07/19(수)(6일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45958566,"XR기반 콘텐츠 개발 신입/경력
정규직 채용
모집부문 및 상세내용
공통 자격요건
ㆍ학력 : 무관
XR 기반 콘텐츠 (Unity) 개발 신입/경력 VR 사업실 0명
지원자격
ㆍ경력 : 신입 및 경력 3년 이상 (사원 대리 과장, 차장급)
ㆍ 게임,Unity, Unreal, 콘텐츠 개발 프로세스에 이해가 높으신 분
ㆍVR, AR, XR 하드웨어 시스템(체계 )에 대한 이해도가 높으신 분
ㆍSW Architecture 설계 가능하신분(경력)
ㆍMariaDB & My SQL에 대한 경험이 있으신 분
ㆍ 원할안 커뮤니케이션 및 협업에 능숙하신 분
ㆍ 신규 기술에 대해 관심 및 스터디를 즐기시는 분


근무조건
ㆍ 근무형태 : 정규직
ㆍ 근무일시 : 주 5일(월~금) 오전 9시~오후 6시
ㆍ 근무지역 : (08504) 서울 금천구 서부샛길 632 대륭테크노타운5차(가산동) - 서울 7호선 가산디지털단지 에서 800m 이내
전형절차
서류전형
1차면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2023년 5월 25일 (목) 10시 ~ 2023년 7월 7일 (금) 24시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
게임개발,(주)서울게임즈,IT학원 프로그래머 강사 모집 [서울게임아카데미],서울 종로구,파트 · 위촉직,경력무관,학력무관,~ 06/30(금)(20일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45860941,"Unity 개발자(7년이상) 정규직 채용
서비스 소개
티앤메타는 '나무기술'과 'TTCEDU' (대학 비교과 No1 교육 회사)가 설립한 조인트 벤처기업입니다.
메타버스와 블록체인을 융합한 새로운 개념의 서비스를 준비하고 있는 회사입니다. 
저희는 기존 대학 대상으로 서비스를 Open 하고 글로벌 하게 확장을 할 계획이며,이에 따라 K 블록체인의 표준화를 진행할 계획을 가지고 있는 성장 무한한 회사입니다.
모집부문 / 상세내용
사용 기술
WebGL unity C#
주요업무
• 모바일 플랫폼 메타버스 Unity 개발
자격요건
• 경력 7년 이상
• C# 언어 능숙하게 사용
• 3D Graphics 전반적인 이해도
• 네트워크 통신 경험자
• Unity Engine 기반 WebGL 개발 경험자
• CI/CD 경험자
• 프로토타이핑, 핵심 로직 설계, 기능 구현, 최적화
• 캐릭터 리깅 및 아바타 시스템 경험자
• 메타버스형 모바일 플랫폼
우대사항
• colyseus을 이용한 멀티플레이어 개발 경험자 우대
• Unity 3D 사용에 능숙한 자 우대
마감일 및 근무지
• 마감일 : 상시
• 근무지
- 서울시 강서구 787-5 (마곡동)
복지 및 혜택
• 개인 장비 : 맥북 또는 희망 PC 지원, 듀얼 모니터
• 근무 형태 : 9시 ~ 6시 (코어타임근무 10시 ~ 3시)
• 자기 계발 : 장기근속자 refresh휴가 및 휴가비 지원, 설&추석 명절 선물 지급, 숙박비 20만원한도 지원, 지인추천포상100만원, 업무관련 도서비 지원, 통신비 5만원 지원, 어학/체력단력(택1) 5만원 한도 지원
• 통근, 교통 : 출장 교통비지원, 야근식대 및 택시비 지원
• 식사, 간식 : 식권대장 포인트 지원
• 급여 제도 : 연차, 퇴직금, 4대보험
• 보험, 의료 : 종합 검진 제공, 경조사비"
게임개발,(주)달콤소프트,[달콤소프트]개발실 Unity클라이언트/클라이언트 모집,서울 강남구,정규직,경력 2년↑,"대학(2,3년)↑",~ 06/30(금)(149일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=44927720,"Unity 개발자(3~5년) 정규직 채용
서비스 소개
티앤메타는 '나무기술'과 'TTCEDU' (대학 비교과 No1 교육 회사)가 설립한 조인트 벤처기업입니다.
메타버스와 블록체인을 융합한 새로운 개념의 서비스를 준비하고 있는 회사입니다. 
저희는 기존 대학 대상으로 서비스를 Open 하고 글로벌 하게 확장을 할 계획이며,이에 따라 K 블록체인의 표준화를 진행할 계획을 가지고 있는 성장 무한한 회사입니다.
모집부문 / 상세내용
사용 기술
unity C# WebGL
주요업무
• 모바일 플랫폼 메타버스 Unity 개발
자격요건
• 경력 3~5년
• C# 언어 능숙하게 사용
• 3D Graphics 전반적인 이해도
• 네트워크 통신 경험자
• Unity Engine 기반 WebGL 개발 경험자
• CI/CD 경험자
• 프로토타이핑, 핵심 로직 설계, 기능 구현, 최적화
• 캐릭터 리깅 및 아바타 시스템 경험자
• 메타버스형 모바일 플랫폼
우대사항
• colyseus을 이용한 멀티플레이어 개발 경험자 우대
• Unity 3D 사용에 능숙한 자 우대
마감일 및 근무지
• 마감일 : 상시
• 근무지
- 서울시 강서구 787-5 (마곡동)
복지 및 혜택
• 개인 장비 : 맥북 또는 희망 PC 지원, 듀얼 모니터
• 근무 형태 : 9시 ~ 6시 (코어타임근무 10시 ~ 3시)
• 자기 계발 : 장기근속자 refresh휴가 및 휴가비 지원, 설&추석 명절 선물 지급, 숙박비 20만원한도 지원, 지인추천포상100만원, 업무관련 도서비 지원, 통신비 5만원 지원, 어학/체력단력(택1) 5만원 한도 지원
• 통근, 교통 : 출장 교통비지원, 야근식대 및 택시비 지원
• 식사, 간식 : 식권대장 포인트 지원
• 급여 제도 : 연차, 퇴직금, 4대보험
• 보험, 의료 : 종합 검진 제공, 경조사비"
게임개발,(주)서울게임즈,IT학원프로게이머코치모집(카트/발로란트/에이펙스/배그/롤),서울 종로구,파트 · 위촉직,경력무관,학력무관,~ 07/02(일)(23일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45848214,"화산C.C 직원채용
□ 모집부문
모집부문
인 원
경 력
기타 우대 및 자격
전산실
(전산 & 골프장 예약담당 겸직)
  1 명
경력
전산프로그램 경력자
(델파이, 오라클)
  ▷ 고용형태 : 정규직
  ▷ 근무형태 : 격주 5일제 근무
  ▷ 급      여 : 회사 규정에 의함 (면접후 결정)
  ▷ 복리후생 : 기숙사, 사내식당, 출퇴근 유류지급, 경조금,
                   휴가비, 자녀학자금, 장기근속자 포상, 경영성과금
  ▷ 근 무 지 : 화산 컨트리클럽 (용인시 처인구)
  □ 제출서류 및 전형방법
  ▷ 제출서류 : 이력서, 자기소개서 각 1부
  ▷ 전형방법 : 1차-서류전형
                       2차-면접 (서류전형 합격자에 한해 개별통지)
  ▷ 접수기한 : 채용시 마감
  ▷ 접수방법 : 이메일, 우편
  ▷ 접 수 처 : 경기도 용인시 처인구 이동읍 화산로 239
                   화산컨트리클럽 총무부 (우 17135)
                        ▷ 기타문의 : (031)329-7210, 031-329-7114"
게임개발,(주)데브크리,유즈맵 게임 개발자님을 모십니다 (경력/울산본사 근무),울산 중구,정규직,경력 1년↑,학력무관,~ 08/22(화)(2일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45995847,[ 전입신고 후 울산 본사에서 근무 가능하신 서울 분도 환영합니다 ! ]
게임개발,디피앤스튜디오(주),로블록스 3D 모델러 (메타버스 배경 및 에셋 모델러),서울 마포구,정규직 · 계약직,경력무관,학력무관,채용시(2일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45995204,[전입신고 후 울산 본사에서 근무 가능하신 서울 분도 환영합니다 ! ]
게임개발,(주)엑스엘게임즈,엑스엘게임즈 프로그래머 / 인프라 부문 모집,경기 성남시 분당구,정규직,경력무관,학력무관,~ 07/23(일)(2일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45994796,
